cache_ttl_seconds,architecture,configured_cache_hit_probability,mean_observed_cache_hit_rate,mean_estimated_stale_cache_risk,mean_success_rate,mean_latency_ms
30,refined,0.7158818258495392,0.7205947595593148,0.005940893777872486,0.9863223841620293,1539.2799619290215
120,refined,0.8242526242885724,0.8268130139306493,0.027022215212119498,0.9839869555904238,1205.912112882007
300,refined,0.8958818258495392,0.8978859715035211,0.07163075580875056,0.9847158310218795,983.8076062324047
900,refined,0.9,0.9026324955288341,0.19907929523573561,0.9844393839244624,970.8431361938638
3600,refined,0.9,0.9026324955288341,0.5689085029457019,0.9844393839244624,970.8431361938638
