workload_multiplier,architecture,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,replication_saturation_rate,mean_calls_delayed_beyond_horizon
1,baseline,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,baseline,audit,2,1140.8666666666666,0.01628506519173191,0.026669531765057267,22759.84662077818,2771030.8584210454,0.0,1.0,15.133333333333333
1,baseline,compliance,1,561.1666666666666,0.0006120844728236,0.0006654817196124268,2091.536136431152,97458.07907817044,0.0,1.0,0.16666666666666666
1,baseline,connector,1,2327.9,0.0014860534977222213,0.0016459500330574368,1368447.9869663117,2807954.39547272,0.0,1.0,1824.2666666666667
1,baseline,fhir,2,1546.0,0.0012810390055852062,0.0013854751011527615,4612.563371983017,205205.27361707194,0.0,1.0,2.933333333333333
1,baseline,orchestrator,1,2302.8,0.008372110334834119,0.00869243839199686,0.0643830941643909,25.479897925606565,0.0,1.0,0.0
1,baseline,policy,2,622.3,0.0005650231341978931,0.0005909454776009897,0.0,0.0,0.0,1.0,0.0
1,baseline,queue,2,2302.8,0.008366702210353204,0.008753473218690112,0.0011350571156631467,18.304102125966892,0.0,1.0,0.0
1,baseline,session,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,baseline,status,1,245.7,0.005208141260315481,0.005920274126110564,0.0,0.0,0.0,1.0,0.0
1,baseline,trust,1,1015.6,0.995560050695643,0.9963249385692255,185056.7390171167,2788997.7310577407,1.0,1.0,101.83333333333333
1,baseline,verifier,2,3714.6666666666665,0.006334136733152004,0.006713439564752703,1104874.1936120694,2789320.526566361,0.0,1.0,2349.0666666666666
1,capacity_matched,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,audit,3,2117.866666666667,0.02290413359237572,0.04400903297054635,9938.365608773229,2066239.7944841313,0.0,0.0,11.3
1,capacity_matched,compliance,2,1049.2666666666667,0.0005737439513187995,0.0006174490280288365,1808.41695804947,71699.03841942767,0.0,0.0,0.3
1,capacity_matched,connector,3,2445.4,0.0009279328956661152,0.001013208038798726,949387.085057649,2096881.8904187523,0.0,0.0,1319.2666666666667
1,capacity_matched,fhir,3,2905.366666666667,0.001606064539711064,0.0017099350156344155,9123.77613909808,160264.39087389054,0.0,0.0,8.766666666666667
1,capacity_matched,orchestrator,3,2302.8,0.002790703444944706,0.0028974794639989535,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,policy,3,1168.0,0.0007073158408767361,0.000729455247810746,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,queue,5,2302.8,0.0033466808841412813,0.003501389287476045,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,status,2,461.1333333333333,0.004885303948352355,0.005484015901067072,0.0,0.0,0.0,0.0,0.0
1,capacity_matched,trust,2,1809.2333333333333,0.9300025317900291,0.9389384484003103,84179.50924110934,2102478.3034272613,0.0,0.0,80.53333333333333
1,capacity_matched,verifier,3,4470.833333333333,0.007904936202752852,0.008360951111771958,673299.0477095222,2086055.7660259365,0.0,0.0,1698.6
1,refined,anonymizer,2,165.7,0.0030142019107036303,0.0034679462418614375,0.008485079134832919,45.31032258000778,0.0,0.0,0.0
1,refined,audit,3,5101.833333333333,0.002133514024653571,0.002958291907409086,0.4947140506108869,7080.607570095708,0.0,0.0,0.0
1,refined,compliance,2,5084.4,0.0027724865320319135,0.0028345513887344017,74.524172752664,11798.2240564304,0.0,0.0,0.13333333333333333
1,refined,connector,3,2800.633333333333,0.0021221655114010635,0.0021954329000435954,0.09717760813953401,1902.2872529501456,0.0,0.0,0.0
1,refined,fhir,3,7196.5,0.003978819481343494,0.00408741763031933,33.70268865928374,11903.760178015602,0.0,0.0,0.0
1,refined,orchestrator,3,2302.8,0.0027935378339557938,0.0029199057911882915,0.0,0.0,0.0,0.0,0.0
1,refined,policy,3,5607.7,0.014438283812017772,0.01483192869147522,0.06540548976524431,85.61092399429526,0.0,0.0,0.0
1,refined,queue,5,2302.8,0.003349458100891991,0.00348406321696407,0.0,0.0,0.0,0.0,0.0
1,refined,session,3,1442.3,0.005101429446128857,0.005365995559825926,0.0,0.0,0.0,0.0,0.0
1,refined,status,2,3893.8,0.03951443621817631,0.0407321011856169,143.2165944065204,11992.723673656656,0.0,0.0,0.26666666666666666
1,refined,trust,2,362.0,0.19191295141471604,0.219879005605902,111.38906478031573,10071.745430704368,0.0,0.0,0.03333333333333333
1,refined,verifier,3,5695.6,0.015540155159868755,0.016032669498594235,0.006308517948156597,42.546438196268355,0.0,0.0,0.0
2,baseline,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,baseline,audit,2,1169.5,0.01665220328784304,0.03386601030733322,46339.1986898099,3179630.3067082097,0.0,1.0,31.5
2,baseline,compliance,1,569.8,0.0006207190069799815,0.0006963108552482158,1978.3313666956685,78667.56116415854,0.0,1.0,0.0
2,baseline,connector,1,4585.6,0.0015097682888037917,0.001732579184703661,1577149.2016521257,3191977.947638841,0.0,1.0,4273.5
2,baseline,fhir,2,1576.5333333333333,0.001305946720018952,0.0014638723702775237,4530.4716418087155,171861.7770076221,0.0,1.0,3.3
