architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
capacity_matched,trust_failure,trust,2,325.8333333333333,0.17355538950823124,0.1918670804424593,58.971694585641536,5661.720196108035,0.0,0.0
capacity_matched,trust_failure,verifier,3,651.6666666666666,0.00177904297315483,0.001995263796279113,0.0,0.0,0.0,0.0
refined,audit_investigation,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,audit,3,17.633333333333333,0.0014221676903525054,0.002377011503573701,0.0,0.0,0.0,0.0
refined,audit_investigation,compliance,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,trust,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,audit_investigation,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_based_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_based_access,audit,3,626.5,9.030317743581335e-05,9.980075613952977e-05,0.0,0.0,0.0,0.0
refined,consent_based_access,compliance,2,626.5333333333333,0.00034171052324235705,0.0003726227458401502,0.0,0.0,0.0,0.0
refined,consent_based_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_based_access,fhir,3,1253.0333333333333,0.0006940676695726541,0.0007640186048441326,0.0,0.0,0.0,0.0
refined,consent_based_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_based_access,policy,3,1278.6,0.003295695249249704,0.003602969920813614,0.0,0.0,0.0,0.0
refined,consent_based_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_based_access,session,3,639.3333333333334,0.0022612473655819207,0.002487183569666908,0.0,0.0,0.0,0.0
refined,consent_based_access,status,2,1287.4333333333334,0.01172305891850121,0.012819676668648031,49.05226010734999,7208.294392470179,0.0,0.0
refined,consent_based_access,trust,2,66.0,0.035130320131910545,0.042964910200577903,2.7235242827629964,2501.1471430789243,0.0,0.0
refined,consent_based_access,verifier,3,1296.1,0.0035361117721027717,0.0038742215019380356,0.0,0.0,0.0,0.0
refined,consent_revocation,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_revocation,audit,3,375.3666666666667,5.373809356529778e-05,5.98816875110848e-05,0.0,0.0,0.0,0.0
refined,consent_revocation,compliance,2,375.3666666666667,0.0002045196649434466,0.00022673785080519682,0.0,0.0,0.0,0.0
refined,consent_revocation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_revocation,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_revocation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_revocation,policy,3,766.4666666666667,0.001976492741103804,0.002148770736772484,0.0,0.0,0.0,0.0
refined,consent_revocation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,consent_revocation,session,3,383.26666666666665,0.0013556064332980794,0.001485435345499398,0.0,0.0,0.0,0.0
refined,consent_revocation,status,2,773.0333333333333,0.00704463735443187,0.007750099670310162,28.261396776992015,7654.6623752476535,0.0,0.0
refined,consent_revocation,trust,2,39.06666666666667,0.020539710318338386,0.029836153227388792,5.8955927511417086,3989.010972212668,0.0,0.0
refined,consent_revocation,verifier,3,779.4,0.0021256026351042807,0.0023135342291234705,0.0,0.0,0.0,0.0
refined,cross_org_exchange,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,cross_org_exchange,audit,3,478.1333333333333,6.890682033125619e-05,7.742312478571324e-05,0.0,0.0,0.0,0.0
refined,cross_org_exchange,compliance,2,478.1333333333333,0.00025911058863466147,0.0002892786821935243,0.0,0.0,0.0,0.0
refined,cross_org_exchange,connector,3,484.93333333333334,0.00036844488010094264,0.0004111507373233572,0.0,0.0,0.0,0.0
refined,cross_org_exchange,fhir,3,956.2666666666667,0.0005294150507493482,0.0005848338711655689,0.0,0.0,0.0,0.0
refined,cross_org_exchange,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,cross_org_exchange,policy,3,956.2666666666667,0.002461852417730095,0.0027465948814468237,0.00013513242645518556,3.899921827496655,0.0,0.0
refined,cross_org_exchange,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,cross_org_exchange,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,cross_org_exchange,status,2,484.96666666666664,0.005506786199858854,0.006193524029231722,0.728060432538171,1609.7710344638472,0.0,0.0
refined,cross_org_exchange,trust,2,48.96666666666667,0.025959247221281297,0.03452107923725919,2.988410100629698,2423.3859789537746,0.0,0.0
refined,cross_org_exchange,verifier,3,969.8,0.0026485952243514694,0.002942422779010049,0.0,0.0,0.0,0.0
refined,emergency_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,audit,3,572.4666666666667,8.270887224748085e-05,9.120510003368863e-05,0.0,0.0,0.0,0.0
refined,emergency_access,compliance,2,572.4666666666667,0.0003125937816506434,0.00033756807839674337,0.0,0.0,0.0,0.0
refined,emergency_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,policy,3,1144.9333333333334,0.002944706659954769,0.0032161137625617946,5.321778685224386e-05,1.4143503050263462,0.0,0.0
refined,emergency_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,emergency_access,status,2,581.5,0.0066152064688886295,0.007184693021397792,1.5396850606941173,2391.6660484774184,0.0,0.0
refined,emergency_access,trust,2,57.06666666666667,0.030396052540294528,0.03792058993844395,1.0204284234940757,1013.9406492685339,0.0,0.0
refined,emergency_access,verifier,3,1162.8666666666666,0.0031708769664907407,0.0034582357569848334,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,audit,3,1964.9333333333334,0.00028134086637889445,0.00029255485751591986,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,compliance,2,1964.9333333333334,0.0010732529022940058,0.0011127563915827791,2.563639814149675,3240.556517680602,0.0,0.0
refined,high_volume_ingestion,connector,3,1964.9666666666667,0.0014881396020123155,0.0015469897797608342,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,fhir,3,3929.9,0.002171200987597486,0.002259896623854959,0.0001184767825503133,6.409731638086669,0.0,0.0
refined,high_volume_ingestion,orchestrator,3,1964.9666666666667,0.0023836697840663125,0.002484191910057676,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,queue,5,1964.9666666666667,0.0028597086252057516,0.002966766646438028,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,high_volume_ingestion,trust,2,59.53333333333333,0.03132824257257557,0.03972734043548204,1.9948277958904013,1932.9789645994424,0.0,0.0
refined,high_volume_ingestion,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,audit,3,325.8666666666667,4.6656461848677854e-05,5.378941029799291e-05,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,compliance,2,325.8666666666667,0.00017828809089530322,0.00020291094877113424,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,connector,3,325.8666666666667,0.0002467833373781133,0.0002791492527744755,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,fhir,3,651.7333333333333,0.0003612474834270666,0.00041075115143235396,0.14929353990176603,2458.0279746545557,0.0,0.0
refined,lab_ingestion_recovery,orchestrator,3,325.8333333333333,0.0003946756276631679,0.0004417374966271664,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,queue,5,325.8333333333333,0.00047553887502060427,0.000528865922136471,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,lab_ingestion_recovery,trust,2,11.3,0.005937789694978663,0.012556137154035842,13.39732174768657,3492.9839983562943,0.0,0.0
refined,lab_ingestion_recovery,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,audit,3,191.26666666666668,2.7388591369210436e-05,3.2770617309121477e-05,0.0,0.0,0.0,0.0
refined,multi_device_access,compliance,2,191.26666666666668,0.00010430765200068794,0.00012215523451105395,0.0,0.0,0.0,0.0
refined,multi_device_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,policy,3,382.6,0.000986687532802156,0.0011529215192650735,0.0,0.0,0.0,0.0
refined,multi_device_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,multi_device_access,session,3,382.6,0.00135505498138761,0.0015648878326777204,0.0,0.0,0.0,0.0
refined,multi_device_access,status,2,194.0,0.0022078048180258145,0.0025851597981690587,0.0,0.0,0.0,0.0
refined,multi_device_access,trust,2,20.366666666666667,0.01074394002755272,0.01506650129606545,0.0,0.0,0.0,0.0
refined,multi_device_access,verifier,3,388.06666666666666,0.0010572794115605967,0.0012223892761558848,0.0,0.0,0.0,0.0
refined,research_donation,anonymizer,2,160.0,0.0029076739913207828,0.003534585020820228,0.0,0.0,0.0,0.0
refined,research_donation,audit,3,160.0,2.2831715111998804e-05,2.9701954175498076e-05,0.0,0.0,0.0,0.0
refined,research_donation,compliance,2,160.0,8.7187055574402e-05,0.00010209257944455196,0.0,0.0,0.0,0.0
refined,research_donation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,research_donation,fhir,3,320.0,0.0001765483136350095,0.0002147204602512216,0.0,0.0,0.0,0.0
refined,research_donation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,research_donation,policy,3,320.0,0.0008262695643533956,0.0010028995852546286,0.0,0.0,0.0,0.0
refined,research_donation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,research_donation,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,research_donation,status,2,162.53333333333333,0.0018531104661440323,0.0022112450128948372,0.0,0.0,0.0,0.0
refined,research_donation,trust,2,15.866666666666667,0.008411434375289096,0.01589961159126636,0.0,0.0,0.0,0.0
refined,research_donation,verifier,3,325.1333333333333,0.0008869220583786613,0.0010479114470543685,0.0,0.0,0.0,0.0
refined,trust_failure,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,audit,3,320.3333333333333,4.619688357190254e-05,5.323610041926653e-05,0.0,0.0,0.0,0.0
refined,trust_failure,compliance,2,320.3333333333333,0.00017457359888274165,0.00019280203698440174,0.0,0.0,0.0,0.0
refined,trust_failure,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,policy,3,640.7333333333333,0.0016479103674284794,0.0018462345197695004,0.0,0.0,0.0,0.0
refined,trust_failure,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,trust_failure,status,2,326.0,0.0037025336843105384,0.004131793237362824,0.28605258806990613,1451.609360337443,0.0,0.0
refined,trust_failure,trust,2,39.13333333333333,0.0209385245501356,0.03129545412649529,16.130230931213426,7398.586303686443,0.0,0.0
refined,trust_failure,verifier,3,651.6666666666666,0.0017748233060501434,0.002001859162873208,0.0,0.0,0.0,0.0
