architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
baseline,emergency_access,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,policy,2,562.0666666666667,0.0005120458466943802,0.0005568371213895988,0.0,0.0,0.0,0.0
baseline,emergency_access,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,emergency_access,trust,1,581.4333333333333,0.61698774609968,0.6742694530697573,2873.531059370693,32719.372204268893,0.0,0.8333333333333334
baseline,emergency_access,verifier,2,1162.8666666666666,0.004766650011629163,0.005190886367003135,0.06962317453938002,43.34572730658692,0.0,0.0
baseline,high_volume_ingestion,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,high_volume_ingestion,audit,2,1889.8666666666666,0.000406936204383272,0.0004269856982892517,604.9688359301969,30446.164800299128,0.0,0.43333333333333335
baseline,high_volume_ingestion,compliance,1,939.6,0.001024638937349045,0.001072280016618017,1266.8140805683825,33047.847088969545,0.0,0.36666666666666664
baseline,high_volume_ingestion,connector,1,1964.9666666666667,0.004466893249388496,0.004651624667243316,0.00023261707647230745,3.0719652427251276,0.0,0.0
baseline,high_volume_ingestion,fhir,2,3813.6,0.0031634906641598757,0.0032967460825010894,0.01098306729562393,50.70265275935526,0.0,0.0
baseline,high_volume_ingestion,orchestrator,1,1964.9666666666667,0.007137541001235302,0.007433402058620324,0.04896490052487614,25.525176111841574,0.0,0.0
baseline,high_volume_ingestion,policy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,high_volume_ingestion,queue,2,1964.9666666666667,0.007146861259487359,0.007430794324447086,0.0007046945049915424,12.954371126852493,0.0,0.0
baseline,high_volume_ingestion,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,high_volume_ingestion,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,high_volume_ingestion,trust,1,574.1333333333333,0.6084996286796205,0.6419608271922596,2949.9772381665634,28542.32431132914,0.0,0.6333333333333333
baseline,high_volume_ingestion,verifier,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,audit,2,280.8,6.0444175210825e-05,7.274721842586966e-05,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,compliance,1,139.86666666666667,0.00015256028052542867,0.00018684786097947616,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,connector,1,289.3,0.0006566944463265455,0.0007324946382929779,107.0151329937977,9713.695392466207,0.0,0.0
baseline,lab_ingestion_recovery,fhir,2,561.6,0.0004660915055479151,0.0005230359499239081,0.24587353592473973,107.32062428860445,0.0,0.0
baseline,lab_ingestion_recovery,orchestrator,1,325.8333333333333,0.0011875664345945781,0.0013329466091289877,0.012280887837032206,16.462607314394972,0.0,0.0
baseline,lab_ingestion_recovery,policy,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,queue,2,325.8333333333333,0.0011879657138892908,0.0013248987473795896,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,lab_ingestion_recovery,trust,1,97.5,0.10358018715918091,0.127868884912161,236.36968728635028,11965.976845945988,0.0,0.0
baseline,lab_ingestion_recovery,verifier,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,audit,2,176.36666666666667,3.810219132407845e-05,4.684138257430553e-05,0.0,0.0,0.0,0.0
baseline,multi_device_access,compliance,1,88.5,9.696506334811236e-05,0.00012918541061451654,0.0,0.0,0.0,0.0
baseline,multi_device_access,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,policy,2,176.36666666666667,0.000160474523466228,0.00018663528890372887,0.0,0.0,0.0,0.0
baseline,multi_device_access,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,multi_device_access,trust,1,563.6666666666666,0.5958910935947236,0.685562169252769,693.3857921628622,9355.51835926691,0.0,0.13333333333333333
baseline,multi_device_access,verifier,2,1127.1,0.004619234785762133,0.005282404785178955,1028.8195058658612,74474.761567683,0.0,0.3
baseline,research_donation,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,audit,2,157.66666666666666,3.42607897677257e-05,4.2329169933116814e-05,0.0,0.0,0.0,0.0
baseline,research_donation,compliance,1,77.73333333333333,8.497201791020344e-05,0.00010575917603074287,0.0,0.0,0.0,0.0
baseline,research_donation,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,policy,2,157.66666666666666,0.00014344666344096062,0.00016391442185438061,0.0,0.0,0.0,0.0
baseline,research_donation,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,research_donation,trust,1,162.56666666666666,0.1718941643126954,0.2106527522478091,390.2922988435006,8673.006518191414,0.0,0.03333333333333333
baseline,research_donation,verifier,2,325.1333333333333,0.0013311765279416688,0.0015926001016694355,0.025055661869443944,35.960269543465984,0.0,0.0
baseline,trust_failure,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,audit,2,193.06666666666666,4.1429584540511283e-05,5.171888158496462e-05,0.0,0.0,0.0,0.0
baseline,trust_failure,compliance,1,96.9,0.00010617751071696421,0.000128656436944642,0.0,0.0,0.0,0.0
baseline,trust_failure,connector,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,fhir,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,orchestrator,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,policy,2,193.06666666666666,0.00017544561334635245,0.00021741202112008124,0.0,0.0,0.0,0.0
baseline,trust_failure,queue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,session,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,status,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,trust_failure,trust,1,325.8333333333333,0.34718724423284486,0.38353940975967343,954.1802378998201,16425.16834990238,0.0,0.0
baseline,trust_failure,verifier,2,651.6666666666666,0.002668564459732245,0.0029928956944186695,0.042489259747424575,41.34800887300116,0.0,0.0
capacity_matched,audit_investigation,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
