trust_failure_probability,architecture,mean_total_requests,mean_success_rate,mean_trust_resolution_success_rate,mean_status_rejection_rate,mean_latency_ms,mean_retry_attempts,mean_fallback_rate,mean_circuit_open_rate
0.01,baseline,325.8333333333333,0.9887417981028553,0.9887417981028553,0.0,4544.507676568754,0.0,0.0,0.0
0.01,capacity_matched,325.8333333333333,0.9887417981028553,0.9887417981028553,0.0,3675.7832673654693,0.0,0.0,0.0
0.01,refined,325.8333333333333,0.9838715596548423,1.0,0.016128440345157754,974.682389233894,0.00073648378413619,0.0,0.0
0.05,baseline,325.8333333333333,0.9471883724055694,0.9471883724055694,0.0,4759.8272019792075,0.0,0.0,0.0
0.05,capacity_matched,325.8333333333333,0.9471883724055694,0.9471883724055694,0.0,3878.5579280755815,0.0,0.0,0.0
0.05,refined,325.8333333333333,0.9842732741593322,1.0,0.015726725840667772,989.476973502314,0.004384349883548136,0.0,0.0
0.1,baseline,325.8333333333333,0.8971866064023669,0.8971866064023669,0.0,5012.475177258762,0.0,0.0,0.0
0.1,capacity_matched,325.8333333333333,0.8971866064023669,0.8971866064023669,0.0,4133.755905792532,0.0,0.0,0.0
0.1,refined,325.8333333333333,0.9836440408832368,1.0,0.01635595911676319,1021.119092507521,0.010912719595074867,9.442870632672333e-05,9.442870632672333e-05
0.2,baseline,325.8333333333333,0.8020817835117828,0.8020817835117828,0.0,5511.573390720636,0.0,0.0,0.0
0.2,capacity_matched,325.8333333333333,0.8020817835117828,0.8020817835117828,0.0,4622.48251809829,0.0,0.0,0.0
0.2,refined,325.8333333333333,0.9827314218958986,1.0,0.017268578104101446,1053.1473642308717,0.022507702226439573,0.0006138542023585645,0.0006138542023585645
