variant,replications,mean_success_rate,success_rate_std,success_rate_ci95_low,success_rate_ci95_high,mean_latency_ms,latency_std_ms,latency_ci95_low_ms,latency_ci95_high_ms
audit_compliance_only,30,0.7981218986877008,0.0068849713986035,0.7955510081160583,0.8006927892593433,6051.829668751412,301.94082215648575,5939.0831128203945,6164.57622468243
baseline,30,0.791333800022678,0.008506750023345158,0.7881573273600938,0.7945102726852621,9023.788046208987,309.41924080380846,8908.249002861812,9139.327089556162
connector_redundancy_only,30,0.7996585263066631,0.008696618907573898,0.7964111554375285,0.8029058971757977,9012.252548590503,314.30233999316175,8894.890126039625,9129.61497114138
fallback_retry_only,30,0.8651688304372056,0.006452823058924481,0.862759306707589,0.8675783541668222,9835.252423646094,467.9446050001209,9660.519036476204,10009.985810815984
fhir_anonymization_only,30,0.8884217810276153,0.00831015051424415,0.885318719828213,0.8915248422270176,9014.01635969993,303.17643347510716,8900.80841891989,9127.22430047997
full_refined,30,0.982089647900048,0.0053960940850818285,0.9800747132541544,0.9841045825459417,880.7647240418524,23.580275199637505,871.9597045758629,889.569743507842
policy_capability_only,30,0.7925982268495123,0.006089891887173599,0.7903242238466484,0.7948722298523763,9091.480752520607,358.05846279221817,8957.779525195821,9225.181979845393
session_manager_only,30,0.8088109269575088,0.006977573824641766,0.8062054580717049,0.8114163958433127,7553.568782035897,269.1385169659963,7453.07080816282,7654.066755908974
status_revocation_only,30,0.7811031635056739,0.007815834319317656,0.7781846830069561,0.7840216440043917,9085.335567946053,342.65835580771585,8957.38483507601,9213.286300816095
trust_cache_only,30,0.8574540109953406,0.0061129164600066295,0.8551714104756845,0.8597366115149967,3974.6503857087955,124.78301698588065,3928.0556414030775,4021.2451300145135
