architecture,scenario,replications,mean_success_rate,success_rate_std,success_rate_ci95_low,success_rate_ci95_high,mean_latency_ms,latency_std_ms,latency_ci95_low_ms,latency_ci95_high_ms
baseline,audit_investigation,30,0.8983106273699625,0.06337505528673358,0.8746459928085123,0.9219752619314127,30018.425884710683,1210.5272359284043,29566.407586102196,30470.44418331917
baseline,consent_based_access,30,0.8927579888126177,0.01532960750221607,0.8870338192971972,0.8984821583280382,7968.034106761233,594.4932360803731,7746.046684147639,8190.021529374826
baseline,consent_revocation,30,0.8909263377905633,0.014809542619107146,0.8853963636940081,0.8964563118871185,5172.7885501895225,212.5033548997868,5093.4384933882575,5252.138606990788
baseline,cross_org_exchange,30,0.9408270981762944,0.010230713067848583,0.9370068871333485,0.9446473092192403,5762.639605166442,288.107842123234,5655.058368869493,5870.2208414633915
baseline,emergency_access,30,0.9667748499454667,0.007215249555253671,0.9640806314832938,0.9694690684076396,6610.416254240373,606.4401463279758,6383.967782025026,6836.864726455719
baseline,high_volume_ingestion,30,0.961931065605447,0.004859082066889057,0.9601166545426595,0.9637454766682346,3328.9907268173283,439.76366557958255,3164.7802753666756,3493.201178267981
baseline,lab_ingestion_recovery,30,0.8615114205330062,0.01858534600199115,0.8545715382820901,0.8684513027839224,1964.17633647178,171.98338080774923,1899.956686657761,2028.3959862857987
baseline,multi_device_access,30,0.9080532503435433,0.023870620333419947,0.8991398142228216,0.916966686464265,18754.457113943918,1580.524813272873,18164.279449369376,19344.63477851846
baseline,research_donation,30,0.0,0.0,0.0,0.0,4092.8044165553333,140.3735346465667,4040.38807727988,4145.220755830787
baseline,trust_failure,30,0.5922453616498807,0.029638252956274678,0.5811782561132188,0.6033124671865426,6565.147467233253,258.93213214566384,6468.460620086204,6661.834314380303
capacity_matched,audit_investigation,30,0.8983106273699625,0.06337505528673358,0.8746459928085123,0.9219752619314127,29925.431511296923,1204.4818442250937,29475.67059904956,30375.192423544286
capacity_matched,consent_based_access,30,0.8927579888126177,0.01532960750221607,0.8870338192971972,0.8984821583280382,4238.870711648579,76.73277755602278,4210.218221618667,4267.523201678492
capacity_matched,consent_revocation,30,0.8909263377905633,0.014809542619107146,0.8853963636940081,0.8964563118871185,3989.883302071042,63.015521369553575,3966.35291968064,4013.4136844614445
capacity_matched,cross_org_exchange,30,0.9408270981762944,0.010230713067848583,0.9370068871333485,0.9446473092192403,4007.1649615633755,65.68050644320809,3982.6394573921016,4031.6904657346495
capacity_matched,emergency_access,30,0.9667748499454667,0.007215249555253671,0.9640806314832938,0.9694690684076396,3931.7714885504197,94.31857610301807,3896.552353423267,3966.9906236775723
capacity_matched,high_volume_ingestion,30,0.961931065605447,0.004859082066889057,0.9601166545426595,0.9637454766682346,1372.5024187201025,53.051989457750786,1352.6924802893523,1392.3123571508527
capacity_matched,lab_ingestion_recovery,30,0.8615114205330062,0.01858534600199115,0.8545715382820901,0.8684513027839224,1801.953197016748,160.64981079195272,1741.9655717980052,1861.9408222354907
capacity_matched,multi_device_access,30,0.9080532503435433,0.023870620333419947,0.8991398142228216,0.916966686464265,13105.341835772479,432.341944806375,12943.902700403847,13266.78097114111
capacity_matched,research_donation,30,0.0,0.0,0.0,0.0,3716.8416453792715,102.1380702979235,3678.7026631333965,3754.9806276251466
capacity_matched,trust_failure,30,0.5922453616498807,0.029638252956274678,0.5811782561132188,0.6033124671865426,5669.853945399579,171.44265872223514,5605.836204530572,5733.871686268586
refined,audit_investigation,30,0.9678144218029209,0.04861504447108569,0.9496612658586495,0.9859675777471922,798.0115069679108,32.11951584600584,786.0178826413132,810.0051312945084
refined,consent_based_access,30,0.9664451119294398,0.006560783885055508,0.9639952749648164,0.9688949488940632,1167.1747558948239,57.12710702301668,1145.8431435571927,1188.506368232455
refined,consent_revocation,30,0.9630065908922265,0.008425314608662584,0.9598605267132342,0.9661526550712188,1073.0794540966658,59.71360106119302,1050.7820290124914,1095.3768791808402
refined,cross_org_exchange,30,0.9859498799775912,0.004764052659712579,0.9841709534786158,0.9877288064765666,995.6541486976024,43.80945818185293,979.2954281644512,1012.0128692307536
refined,emergency_access,30,0.9844393839244624,0.005630850407191974,0.98233678982725,0.9865419780216748,970.8431361938639,42.13168303797066,955.1109071955385,986.5753651921892
refined,high_volume_ingestion,30,1.0,0.0,1.0,1.0,289.73314468855165,15.75834690861506,283.84888124771174,295.61740812939155
refined,lab_ingestion_recovery,30,1.0,0.0,1.0,1.0,302.94016120598644,58.40179385667521,281.1325729822224,324.74774942975046
refined,multi_device_access,30,0.9860829901408708,0.010388788993435075,0.9822037525772371,0.9899622277045044,1059.1057004761622,71.57913883674034,1032.3776107706633,1085.833790181661
refined,research_donation,30,0.9844266784370698,0.00899345214190554,0.981068468216642,0.9877848886574976,1097.9578679660851,79.30112422388225,1068.3463415290712,1127.569394403099
refined,trust_failure,30,0.9827314218958985,0.006648480546435602,0.9802488384597425,0.9852140053320544,1053.1473642308717,90.72916320631418,1019.2685379067068,1087.0261905550367
