revocations_per_hour,revalidation_interval_seconds,architecture,mean_expected_checks_per_session_hour,mean_unauthorized_continuation_ms,mean_estimated_exposure_seconds_per_hour,mean_success_rate,mean_latency_ms
1,5,refined,720.0,2492.537111344585,2.4925371113445847,0.9630065908922266,1073.0794540966658
1,30,refined,120.0,14783.07243885985,14.78307243885985,0.9630065908922266,1073.0794540966658
1,60,refined,60.0,29531.714831878173,29.53171483187817,0.9630065908922266,1073.0794540966658
1,300,refined,12.0,147520.85397602472,147.5208539760247,0.9630065908922266,1073.0794540966658
5,5,refined,720.0,2492.537111344585,12.462685556722924,0.9630065908922266,1073.0794540966658
5,30,refined,120.0,14783.07243885985,73.91536219429925,0.9630065908922266,1073.0794540966658
5,60,refined,60.0,29531.714831878173,147.65857415939084,0.9630065908922266,1073.0794540966658
5,300,refined,12.0,147520.85397602472,737.6042698801235,0.9630065908922266,1073.0794540966658
10,5,refined,720.0,2492.537111344585,24.92537111344585,0.9630065908922266,1073.0794540966658
10,30,refined,120.0,14783.07243885985,147.8307243885985,0.9630065908922266,1073.0794540966658
10,60,refined,60.0,29531.714831878173,295.3171483187817,0.9630065908922266,1073.0794540966658
10,300,refined,12.0,147520.85397602472,1475.208539760247,0.9630065908922266,1073.0794540966658
